  Item ID   |                      Item Name                     |            Filepath

  0x2000    | Mii Mask                                           |    No Model (Likely a Sprite)
  0x2001    | Apple                                              |    No Model (Likely a Sprite)
  0x2002    | Orange                                             |    No Model (Likely a Sprite)
  0x2003    | Pear                                               |    No Model (Likely a Sprite)
  0x2004    | Peach                                              |    No Model (Likely a Sprite)
  0x2005    | Cherry                                             |    No Model (Likely a Sprite)
  0x2006    | Coconut                                            |    No Model (Likely a Sprite)
  0x2007    | Durian                                             |    No Model (Likely a Sprite)
  0x2008    | Lemon                                              |    No Model (Likely a Sprite)
  0x2009    | Lychee                                             |    No Model (Likely a Sprite)
  0x200A    | Mango                                              |    No Model (Likely a Sprite)
  0x200B    | Persimmon                                          |    No Model (Likely a Sprite)
  0x200C    | Banana                                             |    No Model (Likely a Sprite)
  0x200D    | Bamboo Shoot                                       |    No Model (Likely a Sprite)
  0x200E    | Perfect Apple                                      |    No Model (Likely a Sprite)
  0x200F    | Perfect Orange                                     |    No Model (Likely a Sprite)
  0x2010    | Perfect Pear                                       |    No Model (Likely a Sprite)
  0x2011    | Perfect Peach                                      |    No Model (Likely a Sprite)
  0x2012    | Perfect Cherry                                     |    No Model (Likely a Sprite)
  0x2013    | Rotten Apple                                       |    No Model (Likely a Sprite)
  0x2014    | Rotten Orange                                      |    No Model (Likely a Sprite)
  0x2015    | Rotten Pear                                        |    No Model (Likely a Sprite)
  0x2016    | Rotten Peach                                       |    No Model (Likely a Sprite)
  0x2017    | Rotten Cherry                                      |    No Model (Likely a Sprite)
  0x2018    | Apples                                             |    romfs:/Item/Model/int_fru_apple.bcres
  0x2019    | Oranges                                            |    romfs:/Item/Model/int_fru_orange.bcres
  0x201A    | Pears                                              |    romfs:/Item/Model/int_fru_pear.bcres
  0x201B    | Peaches                                            |    romfs:/Item/Model/int_fru_peach.bcres
  0x201C    | Cherries                                           |    romfs:/Item/Model/int_fru_cherry.bcres
  0x201D    | Coconuts                                           |    romfs:/Item/Model/int_fru_coconut.bcres
  0x201E    | Durians                                            |    romfs:/Item/Model/int_fru_durian.bcres
  0x201F    | Lemons                                             |    romfs:/Item/Model/int_fru_lemon.bcres
  0x2020    | Lychees                                            |    romfs:/Item/Model/int_fru_lychee.bcres
  0x2021    | Mangoes                                            |    romfs:/Item/Model/int_fru_mango.bcres
  0x2022    | Persimmons                                         |    romfs:/Item/Model/int_fru_persimmon.bcres
  0x2023    | Bananas                                            |    romfs:/Item/Model/int_fru_banana.bcres
  0x2024    | Bamboo Shoots                                      |    romfs:/Item/Model/int_fru_banbooshoot.bcres
  0x2025    | Perfect Apples                                     |    romfs:/Item/Model/int_fru_apple_d.bcres
  0x2026    | Perfect Oranges                                    |    romfs:/Item/Model/int_fru_orange_d.bcres
  0x2027    | Perfect Pears                                      |    romfs:/Item/Model/int_fru_pear_d.bcres
  0x2028    | Perfect Peaches                                    |    romfs:/Item/Model/int_fru_peach_d.bcres
