 Item ID  |  Item Name

  2000    |   Mii Mask
  2001    |   Apple
  2002    |   Orange
  2003    |   Pear
  2004    |   Peach
  2005    |   Cherry
  2006    |   Coconut
  2007    |   Durian
  2008    |   Lemon
  2009    |   Lychee
  200A    |   Mango
  200B    |   Persimmon
  200C    |   Banana
  200D    |   Bamboo Shoot
  200E    |   Perfect Apple
  200F    |   Perfect Orange
  2010    |   Perfect Pear
  2011    |   Perfect Peach
  2012    |   Perfect Cherry
  2013    |   Rotten Apple
  2014    |   Rotten Orange
  2015    |   Rotten Pear
  2016    |   Rotten Peach
  2017    |   Rotten Cherry
  2018    |   Apples
  2019    |   Oranges
  201A    |   Pears
  201B    |   Peaches
  201C    |   Cherries
  201D    |   Coconuts
  201E    |   Durians
  201F    |   Lemons
  2020    |   Lychees
  2021    |   Mangoes
  2022    |   Persimmons
  2023    |   Bananas
  2024    |   Bamboo Shoots
  2025    |   Perfect Apples
  2026    |   Perfect Oranges
  2027    |   Perfect Pears
  2028    |   Perfect Peaches
  2029    |   Perfect Cherries
  202A    |   Fossil
  202B    |   Fertilizer
  202C    |   Sapling
  202D    |   Cedar Sapling
  202E    |   Holly Shoot
  202F    |   Pink Azalea Shoot
  2030    |   White Azalea Shoot
  2031    |   Blue Hydrangea Shoot
  2032    |   Pink Hydrangea Shoot
  2033    |   Red Hibiscus Shoot
  2034    |   Y. Hibiscus Shoot
  2035    |   Sweet Olive Shoot
  2036    |   Present
  2037    |   Present For Another Villager (Sprite)
  2038    |   Red-Tulip Bag
  2039    |   White-Tulip Bag
  203A    |   Yellow-Tulip Bag
  203B    |   Pink-Tulip Bag
  203C    |   Purple-Tulip Bag
  203D    |   Black-Tulip Bag
  203E    |   Orange-Tulip Bag
  203F    |   White-Pansy Bag
  2040    |   Yellow-Pansy Bag
  2041    |   Red-Pansy Bag
  2042    |   Purple-Pansy Bag
  2043    |   Orange-Pansy Bag
  2044    |   Blue-Pansy Bag
  2045    |   White-Cosmos Bag
  2046    |   Red-Cosmos Bag
  2047    |   Sun-Cosmos Bag
  2048    |   Pink-Cosmos Bag
  2049    |   Orange-Cosmos Bag
  204A    |   Black-Cosmos Bag
  204B    |   Red-Rose Bag
  204C    |   White-Rose Bag
  204D    |   Yellow-Rose Bag
  204E    |   Pink-Rose Bag
  204F    |   Orange-Rose Bag
  2050    |   Purple-Rose Bag
  2051    |   Black-Rose Bag
  2052    |   Blue-Rose Bag
  2053    |   Gold-Rose Bag
  2054    |   Red-Carnation Bag
  2055    |   Pink-Carnation Bag
  2056    |   White-Carnation Bag
  2057    |   White-Lily Bag
  2058    |   Yellow-Lily Bag
  2059    |   Red-Lily Bag
  205A    |   Orange-Lily Bag
  205B    |   Pink-Lily Bag
  205C    |   Black-Lily Bag
  205D    |   Purple-Violet Bag
  205E    |   Blue-Violet Bag
  205F    |   White-Violet Bag
  2060    |   Yellow-Violet Bag
  2061    |   Uni-Directional Chair (Invisible)
  2062    |   Café Dining Chair (Invisible)
  2063    |   Town Hall Chair (Invisible)
  2064    |   ???
  2065    |   ???
  2066    |   Campsite Tree Stump (Invisible)
  2067    |   Campsite Hammock (Invisible)
  2068    |   Dream Suite Bed (Invisible)
  2069    |   Dream Suite Couch (Invisible)
  206A    |   ???
  206B    |   Museum Cushion Chair (Invisible)
  206C    |   ???
  206D    |   ???
  206E    |   ???
  206F    |   DJ K.K. Table
  2070    |   1x1 Museum Item Podium (Fossils)
  2071    |   1x2 Museum Item Stand (Dinosaurs)
  2072    |   2x2 Museum Item Stand (Dinosaurs)
  2073    |   ???
  2074    |   1x1 Shops Item Hangup
  2075    |   1x2 Shops Item Hangup
  2076    |   Retail Chair (Invisible)
  2077    |   Island Hut Chair (Invisible)
  2078    |   Harvey's Chair (Invisible)
  2079    |   Moving Boxes
  207A    |   Moving Boxes Medium
  207B    |   Moving Boxes Large
  207C    |   Train Station Locker
  207D    |   Museum Locker
  207E    |   General Sold-Out Sign
  207F    |   Gracie Sold-Out Sign
  2080    |   Retail Sold-Out Sign
  2081    |   Nooklings Sold-Out Sign (Wall)
  2082    |   Gracie Sold-Out Sign (Wall)
  2083    |   Redd Sold-Out Sign
  2084    |   Wrapping Paper
  2085    |   Medicine
  2086    |   Chocolate Heart
  2087    |   Pearl-Oyster Shell
  2088    |   Conch Shell
  2089    |   Giant-Clam Shell
  208A    |   Coral
  208B    |   Venus-Comb Shell
  208C    |   Scallop Shell
  208D    |   Sea-Snail Shell
  208E    |   Cowrie Shell
  208F    |   Sand Dollar
  2090    |   Oyster Shell
  2091    |   Candy
  2092    |   Lollipop
  2093    |   Elegant Mushroom
  2094    |   Round Mushroom
  2095    |   Skinny Mushroom
  2096    |   Flat Mushroom
  2097    |   Rare Mushroom
  2098    |   Famous Mushroom
  2099    |   Beehive
  209A    |   Pitfall Seed
  209B    |   Tricky Pitfall Seed
  209C    |   Gold Nugget
  209D    |   Silver Nugget
  209E    |   Ruby
  209F    |   Sapphire
  20A0    |   Emerald
  20A1    |   Amethyst
  20A2    |   Butter
  20A3    |   Milk
  20A4    |   Vinegar
  20A5    |   Flour
  20A6    |   Sugar
  20A7    |   100 Bells
  20A8    |   200 Bells
  20A9    |   300 Bells
  20AA    |   400 Bells
  20AB    |   500 Bells
  20AC    |   600 Bells
  20AD    |   700 Bells
  20AE    |   800 Bells
  20AF    |   900 Bells
  20B0    |   1,000 Bells
  20B1    |   2,000 Bells
  20B2    |   3,000 Bells
  20B3    |   4,000 Bells
  20B4    |   5,000 Bells
  20B5    |   6,000 Bells
  20B6    |   7,000 Bells
  20B7    |   8,000 Bells
  20B8    |   9,000 Bells
  20B9    |   10,000 Bells
  20BA    |   11,000 Bells
  20BB    |   12,000 Bells
  20BC    |   13,000 Bells
  20BD    |   14,000 Bells
  20BE    |   15,000 Bells
  20BF    |   16,000 Bells
  20C0    |   17,000 Bells
  20C1    |   18,000 Bells
  20C2    |   19,000 Bells
  20C3    |   20,000 Bells
  20C4    |   21,000 Bells
  20C5    |   22,000 Bells
  20C6    |   23,000 Bells
  20C7    |   24,000 Bells
  20C8    |   25,000 Bells
  20C9    |   26,000 Bells
  20CA    |   27,000 Bells
  20CB    |   28,000 Bells
  20CC    |   29,000 Bells
  20CD    |   30,000 Bells
